Year,Start_Year,Violence_Incidents_1000s,    Violence with injury,        Wounding,        Assault with minor injury,    Violence without injury
Jan 1981 to Dec 1981,1981,"2,063","1,226",544,682,838
Jan 1983 to Dec 1983,1983,"2,014","1,208",454,806,806
Jan 1987 to Dec 1987,1987,"2,265","1,592",613,978,674
Jan 1991 to Dec 1991,1991,"2,900","1,778",791,987,"1,122"
Jan 1993 to Dec 1993,1993,"3,768","2,407",874,"1,533","1,360"
Jan 1995 to Dec 1995,1995,"4,464","2,622","1,077","1,545","1,843"
Jan 1997 to Dec 1997,1997,"3,746","2,365",940,"1,425","1,381"
Jan 1999 to Dec 1999,1999,"3,375","1,974",728,"1,245","1,401"
Apr 2001 to Mar 2002,2001,"2,551","1,507",709,798,"1,043"
Apr 2002 to Mar 2003,2002,"2,579","1,419",728,691,"1,160"
Apr 2003 to Mar 2004,2003,"2,355","1,268",649,618,"1,087"
Apr 2004 to Mar 2005,2004,"2,191","1,255",614,641,936
Apr 2005 to Mar 2006,2005,"2,221","1,203",591,612,"1,018"
Apr 2006 to Mar 2007,2006,"2,287","1,182",612,578,"1,105"
Apr 2007 to Mar 2008,2007,"1,975","1,022",517,506,952
Apr 2008 to Mar 2009,2008,"1,889","1,012",462,551,877
Apr 2009 to Mar 2010,2009,"1,841",972,522,449,869
Apr 2010 to Mar 2011,2010,"2,126","1,232",568,664,894
Apr 2011 to Mar 2012,2011,"1,956","1,023",538,485,934
"Apr 2012 to Mar 2013
[note 6]",2012,"1,936","1,144",525,619,792
Apr 2013 to Mar 2014,2013,"1,562",664,321,342,898
Apr 2014 to Mar 2015,2014,"1,726",838,429,409,888
Apr 2015 to Mar 2016,2015,"1,468",631,331,300,837
Apr 2016 to Mar 2017,2016,"1,432",702,379,323,730
Apr 2017 to Mar 2018,2017,"1,426",666,242,423,760
Apr 2018 to Mar 2019,2018,"1,344",714,332,382,630
"Apr 2019 to Mar 2020
[note 7]",2019,"1,239",591,341,250,648
Apr 2022 to Mar 2023,2022,998,423,158,265,575
Apr 2023 to Mar 2024,2023,"1,125",533,253,279,592
Apr 2024 to Mar 2025,2024,"1,103",391,136,255,711
Oct 2023 to Sep 2024,2023,"1,140",529,212,317,610
Oct 2024 to Sep 2025,2024,"1,140",426,165,260,714
